,chain,hs_lat,hs_lon,time,iteration,model,plateid
9069,Hawaii,31.83003540066828,179.39206397643932,50.0,28,Trench_frame,901
9070,Hawaii,29.3240921417868,-175.71354956219514,40.0,28,Trench_frame,901
9071,Hawaii,26.701961962990794,-172.4337160060416,30.0,28,Trench_frame,901
9072,Hawaii,25.005432394175703,-166.7162470575852,20.0,28,Trench_frame,901
9073,Hawaii,21.97559269979141,-160.9353790912901,10.0,28,Trench_frame,901
9074,Hawaii,19.0,-155.0,0.0,28,Trench_frame,901
9075,Hawaii,50.86490483895134,172.5285333137094,90.0,29,Trench_frame,901
9076,Hawaii,43.46229245571193,174.1923073248378,80.0,29,Trench_frame,901
9077,Hawaii,36.2367218101885,177.52232898213208,70.0,29,Trench_frame,901
9078,Hawaii,30.92797697013533,177.71085865899698,60.0,29,Trench_frame,901
9079,Hawaii,27.25930106103166,179.49452985348563,50.0,29,Trench_frame,901
9080,Hawaii,24.232672279449734,-175.6517478328621,40.0,29,Trench_frame,901
9081,Hawaii,26.03297700930818,-173.04424188952697,30.0,29,Trench_frame,901
9082,Hawaii,24.891367681430133,-166.93306201972496,20.0,29,Trench_frame,901
9083,Hawaii,22.066932183275508,-161.8102327011234,10.0,29,Trench_frame,901
9084,Hawaii,19.0,-155.0,0.0,29,Trench_frame,901
9085,Hawaii,54.140155981188855,171.55034305169661,90.0,30,Trench_frame,901
9086,Hawaii,46.53483163953041,173.07699705162372,80.0,30,Trench_frame,901
9087,Hawaii,39.049835906609076,176.78779473953696,70.0,30,Trench_frame,901
9088,Hawaii,33.720710520787726,176.99382441871367,60.0,30,Trench_frame,901
9089,Hawaii,28.905549437412237,179.7439667711833,50.0,30,Trench_frame,901
9090,Hawaii,25.391189696407345,-175.1438939753322,40.0,30,Trench_frame,901
9091,Hawaii,27.06098689474848,-172.5905971916157,30.0,30,Trench_frame,901
9092,Hawaii,25.141852381603584,-166.64253853246143,20.0,30,Trench_frame,901
9093,Hawaii,22.441113660903444,-161.35135338008925,10.0,30,Trench_frame,901
9094,Hawaii,19.0,-155.0,0.0,30,Trench_frame,901
9095,Hawaii,51.4639938958305,176.2133092453207,90.0,31,Trench_frame,901
9096,Hawaii,44.150414369375106,176.9697528978384,80.0,31,Trench_frame,901
9097,Hawaii,36.56810447448371,178.97648362276036,70.0,31,Trench_frame,901
9098,Hawaii,32.15613840049368,178.14074796929242,60.0,31,Trench_frame,901
9099,Hawaii,29.821200136558623,178.76539097193256,50.0,31,Trench_frame,901
9100,Hawaii,24.93044292710647,-175.65142016573836,40.0,31,Trench_frame,901
9101,Hawaii,26.685270446050904,-173.0254850619926,30.0,31,Trench_frame,901
9102,Hawaii,25.75659240511228,-167.01796211571966,20.0,31,Trench_frame,901
9103,Hawaii,22.200930758809893,-161.46342922071017,10.0,31,Trench_frame,901
9104,Hawaii,19.0,-155.0,0.0,31,Trench_frame,901
9105,Hawaii,51.857909939108126,175.3158839891168,90.0,32,Trench_frame,901
9106,Hawaii,44.39240709859064,176.66993870967232,80.0,32,Trench_frame,901
9107,Hawaii,36.30755337223702,-179.5971875631336,70.0,32,Trench_frame,901
9108,Hawaii,31.953981994564156,179.50838451692425,60.0,32,Trench_frame,901
9109,Hawaii,28.332962884421168,-178.78073905887732,50.0,32,Trench_frame,901
9110,Hawaii,25.223208922633827,-173.94809730741898,40.0,32,Trench_frame,901
9111,Hawaii,26.902745233378294,-171.342744348124,30.0,32,Trench_frame,901
9112,Hawaii,25.295221852309567,-166.96831050010144,20.0,32,Trench_frame,901
9113,Hawaii,22.478613163320656,-161.6755637176093,10.0,32,Trench_frame,901
9114,Hawaii,19.0,-155.0,0.0,32,Trench_frame,901
9115,Hawaii,52.51158906629932,174.25867661085474,90.0,33,Trench_frame,901
9116,Hawaii,45.123229400119676,175.19175801597112,80.0,33,Trench_frame,901
9117,Hawaii,37.60782909639174,177.91347654357637,70.0,33,Trench_frame,901
9118,Hawaii,32.6983825129109,177.70119752177905,60.0,33,Trench_frame,901
9119,Hawaii,28.37901198907702,-179.09635379076917,50.0,33,Trench_frame,901
9120,Hawaii,25.38695986868927,-173.9189650002497,40.0,33,Trench_frame,901
9121,Hawaii,27.17957464915101,-171.24365132070196,30.0,33,Trench_frame,901
9122,Hawaii,25.19588849812763,-166.82911023221988,20.0,33,Trench_frame,901
9123,Hawaii,23.000981806313753,-161.42601269469455,10.0,33,Trench_frame,901
9124,Hawaii,19.0,-155.0,0.0,33,Trench_frame,901
9125,Hawaii,55.82882968981869,171.97843092682294,90.0,34,Trench_frame,901
9126,Hawaii,48.27129753766027,172.8919115288581,80.0,34,Trench_frame,901
9127,Hawaii,40.91962717033789,175.73140662534664,70.0,34,Trench_frame,901
9128,Hawaii,35.837307102369664,175.61287547231254,60.0,34,Trench_frame,901
9129,Hawaii,31.499969692025015,178.19015754726715,50.0,34,Trench_frame,901
9130,Hawaii,28.555585507841013,-176.9011496107895,40.0,34,Trench_frame,901
9131,Hawaii,28.139174687382194,-172.8325087015313,30.0,34,Trench_frame,901
9132,Hawaii,25.071693758972497,-167.00531599542867,20.0,34,Trench_frame,901
9133,Hawaii,22.862754062809113,-161.70960852049478,10.0,34,Trench_frame,901
9134,Hawaii,19.0,-155.0,0.0,34,Trench_frame,901
9135,Hawaii,55.02354367986752,173.59463598072315,90.0,35,Trench_frame,901
9136,Hawaii,47.60471192627717,175.93786718800277,80.0,35,Trench_frame,901
9137,Hawaii,40.33330057303651,178.44766624915698,70.0,35,Trench_frame,901
9138,Hawaii,35.37556469594687,178.09438556086963,60.0,35,Trench_frame,901
9139,Hawaii,31.29945145138603,179.25881418694158,50.0,35,Trench_frame,901
9140,Hawaii,29.16493579164043,-175.49149712205522,40.0,35,Trench_frame,901
9141,Hawaii,26.884793493313712,-172.45835694093213,30.0,35,Trench_frame,901
9142,Hawaii,24.49168676944351,-166.63736842926338,20.0,35,Trench_frame,901
9143,Hawaii,21.47985052400476,-161.0613636380741,10.0,35,Trench_frame,901
9144,Hawaii,19.0,-155.0,0.0,35,Trench_frame,901
9145,Hawaii,55.19284644471996,169.13825346064522,90.0,36,Trench_frame,901
9146,Hawaii,47.37401830162582,171.46383534010957,80.0,36,Trench_frame,901
9147,Hawaii,39.78982618982608,175.6871697561903,70.0,36,Trench_frame,901
9148,Hawaii,34.69326547053096,175.86118514052959,60.0,36,Trench_frame,901
9149,Hawaii,30.38317265351232,178.92301763666396,50.0,36,Trench_frame,901
9150,Hawaii,27.395682097136536,-175.96500341939867,40.0,36,Trench_frame,901
9151,Hawaii,27.050455747393627,-172.8043583672298,30.0,36,Trench_frame,901
9152,Hawaii,25.5543898718913,-167.60461481038195,20.0,36,Trench_frame,901
9153,Hawaii,22.47950175656354,-161.37756902187004,10.0,36,Trench_frame,901
9154,Hawaii,19.0,-155.0,0.0,36,Trench_frame,901
9155,Hawaii,53.927545510289114,169.16954533691103,90.0,37,Trench_frame,901
9156,Hawaii,46.31277363098643,171.6500178433148,80.0,37,Trench_frame,901
9157,Hawaii,39.25176398357859,174.88433299317995,70.0,37,Trench_frame,901
9158,Hawaii,33.88876244341155,175.226251582931,60.0,37,Trench_frame,901
9159,Hawaii,29.59799535728515,178.42976851807606,50.0,37,Trench_frame,901
9160,Hawaii,26.941121312793744,-176.1388970949157,40.0,37,Trench_frame,901
9161,Hawaii,26.7542772219805,-172.1516303765494,30.0,37,Trench_frame,901
9162,Hawaii,24.185692154699524,-166.2611723228721,20.0,37,Trench_frame,901
9163,Hawaii,21.17064623422772,-160.69444597858626,10.0,37,Trench_frame,901
9164,Hawaii,19.0,-155.0,0.0,37,Trench_frame,901
9165,Hawaii,52.72296219070405,172.30982250156725,90.0,38,Trench_frame,901
9166,Hawaii,45.103781497110724,174.4492942486755,80.0,38,Trench_frame,901
9167,Hawaii,37.55014227602579,178.08595475695392,70.0,38,Trench_frame,901
9168,Hawaii,32.2288320838298,178.04546059768052,60.0,38,Trench_frame,901
9169,Hawaii,28.641781139443804,179.80054057298295,50.0,38,Trench_frame,901
9170,Hawaii,24.58535607835448,-174.66184121787438,40.0,38,Trench_frame,901
9171,Hawaii,26.25727489375657,-172.06715645324113,30.0,38,Trench_frame,901
9172,Hawaii,24.742395099372768,-167.05457557043334,20.0,38,Trench_frame,901
9173,Hawaii,21.951853037482337,-160.87342958517573,10.0,38,Trench_frame,901
9174,Hawaii,19.0,-155.0,0.0,38,Trench_frame,901
9175,Hawaii,56.301137345985836,170.34038406802173,90.0,39,Trench_frame,901
9176,Hawaii,48.731962976463116,171.80682454553283,80.0,39,Trench_frame,901
9177,Hawaii,41.49928634981747,175.35130905114485,70.0,39,Trench_frame,901
9178,Hawaii,36.1242205965713,175.5805217607768,60.0,39,Trench_frame,901
9179,Hawaii,31.80745029806177,178.6310516184935,50.0,39,Trench_frame,901
9180,Hawaii,29.27402972049123,-176.9405191581021,40.0,39,Trench_frame,901
9181,Hawaii,27.756276697573675,-173.20047499604377,30.0,39,Trench_frame,901
9182,Hawaii,25.59123948967939,-167.68291898464494,20.0,39,Trench_frame,901
9183,Hawaii,22.50243232753409,-161.40065163688098,10.0,39,Trench_frame,901
9184,Hawaii,19.0,-155.0,0.0,39,Trench_frame,901
9185,Hawaii,55.91221314885558,173.4709626701202,90.0,40,Trench_frame,901
9186,Hawaii,48.491231553005655,174.2305623956188,80.0,40,Trench_frame,901
9187,Hawaii,41.143534494121674,176.71827381856215,70.0,40,Trench_frame,901
9188,Hawaii,35.85450747310533,176.8784451295644,60.0,40,Trench_frame,901
9189,Hawaii,31.74037030899975,179.00961457062766,50.0,40,Trench_frame,901
9190,Hawaii,29.744752038926855,-176.3694925695148,40.0,40,Trench_frame,901
9191,Hawaii,26.53772171998681,-172.52415502913885,30.0,40,Trench_frame,901
9192,Hawaii,25.239439348813942,-167.41594471759805,20.0,40,Trench_frame,901
9193,Hawaii,21.804020479989752,-160.93345302819438,10.0,40,Trench_frame,901
9194,Hawaii,19.0,-155.0,0.0,40,Trench_frame,901
9195,Hawaii,51.621006540003535,173.02544369878817,90.0,41,Trench_frame,901
9196,Hawaii,43.97821723164689,174.45568412980083,80.0,41,Trench_frame,901
9197,Hawaii,36.64891411069594,177.7303283589733,70.0,41,Trench_frame,901
9198,Hawaii,31.25916027137035,178.02679389867674,60.0,41,Trench_frame,901
9199,Hawaii,29.425216699412534,179.07537777381174,50.0,41,Trench_frame,901
9200,Hawaii,24.575879442325277,-175.3538531862349,40.0,41,Trench_frame,901
9201,Hawaii,26.326527603515945,-172.70800592843628,30.0,41,Trench_frame,901
9202,Hawaii,25.100831458879668,-166.66584030959032,20.0,41,Trench_frame,901
9203,Hawaii,21.853067799701453,-161.23739487099567,10.0,41,Trench_frame,901
9204,Hawaii,19.0,-155.0,0.0,41,Trench_frame,901
9205,Hawaii,51.926881228330124,172.92139711248902,90.0,42,Trench_frame,901
9206,Hawaii,44.32766294111025,174.38299005518007,80.0,42,Trench_frame,901
9207,Hawaii,36.224698832991685,178.47513575839324,70.0,42,Trench_frame,901
9208,Hawaii,31.79329017117678,177.6854636978353,60.0,42,Trench_frame,901
9209,Hawaii,27.83265731114889,179.4876647015123,50.0,42,Trench_frame,901
9210,Hawaii,25.27888094750917,-175.76455514738413,40.0,42,Trench_frame,901
9211,Hawaii,27.02300718219983,-172.90934913006495,30.0,42,Trench_frame,901
9212,Hawaii,24.997211699778394,-166.7788986992202,20.0,42,Trench_frame,901
9213,Hawaii,21.78550439003564,-161.33362959271597,10.0,42,Trench_frame,901
9214,Hawaii,19.0,-155.0,0.0,42,Trench_frame,901
9215,Hawaii,53.8111759644068,169.45888041726047,90.0,43,Trench_frame,901
9216,Hawaii,46.24917212054621,171.5698096489264,80.0,43,Trench_frame,901
9217,Hawaii,38.87278005530152,175.26668588909408,70.0,43,Trench_frame,901
9218,Hawaii,33.42844098970465,175.72129511220461,60.0,43,Trench_frame,901
9219,Hawaii,28.638649639394323,178.9124358164922,50.0,43,Trench_frame,901
9220,Hawaii,24.53634402615503,-175.47804631823132,40.0,43,Trench_frame,901
9221,Hawaii,26.261556951367506,-172.81687655846488,30.0,43,Trench_frame,901
9222,Hawaii,24.737202314638207,-166.88705732295114,20.0,43,Trench_frame,901
9223,Hawaii,21.98746177146051,-161.84696727150978,10.0,43,Trench_frame,901
9224,Hawaii,19.0,-155.0,0.0,43,Trench_frame,901
9225,Hawaii,55.71648649684428,171.33216813514437,90.0,44,Trench_frame,901
9226,Hawaii,47.835464450941444,173.52400489604327,80.0,44,Trench_frame,901
9227,Hawaii,40.63359001868486,176.70086360860992,70.0,44,Trench_frame,901
9228,Hawaii,35.338568079937886,176.90753476875025,60.0,44,Trench_frame,901
9229,Hawaii,30.901481609188497,179.36330592209546,50.0,44,Trench_frame,901
9230,Hawaii,27.417149846405305,-175.49463858997683,40.0,44,Trench_frame,901
9231,Hawaii,28.556124250499135,-172.39564327613647,30.0,44,Trench_frame,901
9232,Hawaii,25.27765682831716,-166.508865304659,20.0,44,Trench_frame,901
9233,Hawaii,22.519937437887652,-161.29377043920312,10.0,44,Trench_frame,901
9234,Hawaii,19.0,-155.0,0.0,44,Trench_frame,901
9235,Hawaii,54.95838053306587,173.4706377286605,90.0,45,Trench_frame,901
9236,Hawaii,47.93081929709415,174.4513898594459,80.0,45,Trench_frame,901
9237,Hawaii,40.263470440632474,178.32519111691533,70.0,45,Trench_frame,901
9238,Hawaii,35.68920791281596,177.48112180738994,60.0,45,Trench_frame,901
9239,Hawaii,31.519758890451303,179.1069078169978,50.0,45,Trench_frame,901
9240,Hawaii,29.27393622716305,-176.21886096405717,40.0,45,Trench_frame,901
9241,Hawaii,27.446023869082886,-172.73844461002656,30.0,45,Trench_frame,901
9242,Hawaii,24.972938514659035,-167.19061608526684,20.0,45,Trench_frame,901
